Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
11,74,RX,UDP,520,2.21039,232,0,192.166.1.12,192.166.1.11
11,74,TX,UDP,520,2.21039,232,0,192.166.1.12,192.166.1.11
11,51,RX,UDP,520,2.21061,132,0,192.166.1.79,192.166.1.80
11,51,TX,UDP,520,2.21061,132,0,192.166.1.79,192.166.1.80
13,163,RX,UDP,520,2.21065,292,0,192.166.1.62,192.166.1.61
13,163,TX,UDP,520,2.21065,292,0,192.166.1.62,192.166.1.61
14,151,RX,UDP,520,2.21068,212,0,192.166.1.22,192.166.1.21
14,151,TX,UDP,520,2.21068,212,0,192.166.1.22,192.166.1.21
14,45,RX,UDP,520,2.21096,172,0,192.166.1.80,192.166.1.79
14,45,TX,UDP,520,2.21096,172,0,192.166.1.80,192.166.1.79
11,80,RX,UDP,520,2.21098,172,0,192.166.1.2,192.166.1.1
11,80,TX,UDP,520,2.21098,172,0,192.166.1.2,192.166.1.1
14,149,RX,UDP,520,2.21143,292,0,192.166.1.26,192.166.1.25
14,149,TX,UDP,520,2.21143,292,0,192.166.1.26,192.166.1.25
11,75,RX,UDP,520,2.21145,292,0,192.166.1.8,192.166.1.7
11,75,TX,UDP,520,2.21145,292,0,192.166.1.8,192.166.1.7
12,79,RX,UDP,520,2.21149,232,0,192.166.1.4,192.166.1.3
12,79,TX,UDP,520,2.21149,232,0,192.166.1.4,192.166.1.3
14,99,RX,UDP,520,2.2117,172,0,192.166.1.9,192.166.1.10
14,99,TX,UDP,520,2.2117,172,0,192.166.1.9,192.166.1.10
11,116,RX,UDP,520,2.21195,312,0,192.166.1.90,192.166.1.89
11,116,TX,UDP,520,2.21195,312,0,192.166.1.90,192.166.1.89
14,160,RX,UDP,520,2.21205,212,0,192.166.1.54,192.166.1.53
14,160,TX,UDP,520,2.21205,212,0,192.166.1.54,192.166.1.53
11,140,RX,UDP,520,2.21217,132,0,192.166.1.66,192.166.1.65
11,140,TX,UDP,520,2.21217,132,0,192.166.1.66,192.166.1.65
14,49,RX,UDP,520,2.21242,232,0,192.166.1.108,192.166.1.107
14,49,TX,UDP,520,2.21242,232,0,192.166.1.108,192.166.1.107
11,146,RX,UDP,520,2.21244,172,0,192.166.1.72,192.166.1.71
11,146,TX,UDP,520,2.21244,172,0,192.166.1.72,192.166.1.71
13,152,RX,UDP,520,2.21268,252,0,192.166.1.18,192.166.1.17
13,152,TX,UDP,520,2.21268,252,0,192.166.1.18,192.166.1.17
11,50,RX,UDP,520,2.21288,272,0,192.166.1.102,192.166.1.101
11,50,TX,UDP,520,2.21288,272,0,192.166.1.102,192.166.1.101
14,97,RX,UDP,520,2.21289,292,0,192.166.1.109,192.166.1.110
14,97,TX,UDP,520,2.21289,292,0,192.166.1.109,192.166.1.110
